course_code,course_title,lecturer_name,Semester,source_type,course_level,day,room_name,start_time,credit_hours,timings,end_time
PSYC 105,Introduction to Psychology [Sec A],A. Kusi Amponsah,1,General,1,TH,Baobab RM3,7:00am,3,7:00am - 9:30am,9:30am
BMET 152,Language and Communication Skills II [Sec A],A. Oye,1,Departmental,1,T,Baobab RM1,10:00am,3,10:00am - 12:30pm,12:30pm
CHEM 224,Chemistry for Biomedical Engineering [Sec A],Dr. Daniel Kantanka,1,Departmental,2,TH,CH3-3,10:00am,3,10:00am - 12:30pm,12:30pm
RELB 163,Life and Teachings of Jesus [Sec B],Dr. F. Ternotey,1,General,1,W,Baobab RM5,3:00pm,3,3:00pm - 5:30pm,5:30pm
MATH 112,Calculus I [Sec A],Dr. G. Biney,1,General,1,T,MET 103,10:00am,3.0,10:00am - 12:00pm,12:00pm
MATH 214,Multivariable Calculus [Sec A],Dr. G. Biney,1,General,2,W,MET 101,3:00pm,3.0,3:00pm - 5:00pm,5:00pm
BMET 214,Medical Laboratory Instrumentation [Sec A],Dr. J. Kutor,1,Departmental,2,TH,MET 101,10:00am,3,10:00am - 12:00pm,12:00pm
BMET 336,Quantitative Human Physiology [Sec A],Dr. J. Kutor,1,Departmental,3,W,MET 101,10:30am,2,10:30am - 12:30pm,12:30pm
BMET 446,Biofluid Mechanics [Sec A],Dr. J. Kutor,1,Departmental,4,W,MET 101,3:00pm,2,3:00pm - 5:00pm,5:00pm
BMET 346,Transport Phenomena in Biomedical Engineering,Dr. J. Kutor,1,Departmental,3,W,MET 101,8:00am,2,8:00am - 10:00am,10:00am
ENGL 111 / BMET 151,Language and Writing Skills I [Sec A] / Language and Communication Skills I [Sec A],Dr. S. Adjei-Mensah,2,General,1,W,Baobab RM3,10:00am,2,10:00am - 12:00pm,12:00pm
RELG 451,Bible and Family Dynamics [Sec A],Dr. S. Amoh,2,General,4,T,Baobab RM5,10:00am,3,10:00am - 12:30pm,12:30pm
BIOL 322,Human Anatomy and Physiology II [Sec A],E. Abindau,1,Departmental,3,F,MET 101,10:00am,3.0,10:00am - 12:30pm,12:30pm
BIOL 116,Introduction to Human Anatomy and Physiology [Sec A],E. Abindau,1,Departmental,1,TBA,TBA,,3.0,TBA,
AFST 205,Introduction to African Music [Sec A],E. Boahen,1,General,2,F,Baobab RM1,7:00am,1,7:00am - 8:00am,8:00am
COSC 124,Procedural Programming,E. Okoe,2,Departmental,1,TH,GEN. LAB,2:00pm,3.0,2:00pm - 4:30pm,4:30pm
BMET 262 / BMET 332,Biomedical Measurement and Instrumentation II [Sec A] / Biomedical  Instrumentation II [Sec A],E. Prah,2,Departmental,2,M,MET 101,10:00am,3,10:00am - 12:30pm,12:30pm
BMET 374,Research Methods,E. Prah,2,Departmental,3,M,MET 101,7:00am,3,7:00am - 9:30am,9:30am
BMET 236,Biomedical Equipment Management [Sec A],E. Prah,1,Departmental,2,T,MET 101,2:00pm,3,2:00pm - 4:30pm,4:30pm
BMET 132 / BMET 232,Electronic Devices and Circuits II [Sec A] / Electronic Circuits II [Sec A],E. Prah,1,Departmental,1,T,MET 101,7:00am,3,7:00am - 9:30am,9:30am
BMET 278 / BMET 174,Biomedical Transducers and Sensors [Sec A],E. Prah,2,Departmental,2,TH,MET 101,7:00am,3,7:00am - 9:30am,9:30am
AFST 243,Chieftaincy and Development [Sec A],F. Opoku,2,General,2,W,Baobab RM1,3:00pm,1,3:00pm - 4:00pm,4:00pm
PHYS 124,Physics for Biomedical Engineering [Sec A],J. Asirifi,1,Departmental,1,M,MET 103,7:00am,3,7:00am - 9:30am,9:30am
BMET 142 / BMET 242,Digital Fundamentals II [Sec A] / Digital Electronics II [Sec A],J. Asirifi,2,Departmental,1,T,MET 103,2:00pm,3,2:00pm - 4:30pm,4:30pm
BMET 436,PACS and Medical Imaging Informatics [Sec A],J. Asirifi,2,Departmental,4,T,MET 103,4:30pm,2,4:30pm - 6:30pm,6:30pm
BMET 228 / BMET 412,Medical Imaging Systems II [Sec A] / Medical Imaging II [Sec A],J. Asirifi,1,Departmental,2,TH,MET 103,10:00am,3,10:00am - 12:30pm,12:30pm
BMET 424,Digital Radiography [Sec A],J. Asirifi,1,Departmental,4,W,MET 103,10:00am,2,10:00am - 12:00pm,12:00pm
FREN 121,French for General Communication I [Sec A],J. Elorm Doufodji,2,General,1,T,Baobab RM1,7:00am,2,7:00am - 9:30am,9:30am
FREN 122,French for General Communication II [Sec A],J. Rhule,1,General,1,M,Baobab RM3,7:00am,2,7:00am - 9:30am,9:30am
RELB 385,Introduction to Biblical Foundation of Ethics [Sec A],Ps. E. Takyi,1,General,3,M,Baobab RM3,2:00pm,3,2:00pm - 4:30pm,4:30pm
COSC 113,Elements of Programming,R. Amponsah,2,Departmental,1,TH,CS LAB,2:00pm,3.0,2:00pm - 4:30pm,4:30pm
BMET 272,Introduction to Engineering Softwares [Sec A],TBA,1,Departmental,2,TBA,TBA,,3,TBA,
BSAD 216 / BSAD 316,Business Essentials [Sec A] / Essentials of Business,TBA,1,Departmental,2,W,MET 101,5:00pm,3.0,5:00pm - 7:00pm,7:00pm
