course_code,course_title,lecturer_name,Semester,source_type,course_level,day,room_name,start_time,credit_hours,timings,end_time
COSC 370 / INFT 370,Operations Research [Sec A] / Management Science [Sec A],Dr. A. Adu-Sackey,1,Departmental,3,M,CS2,7:00am,3.0,7:00am - 9:30am,9:30am
MATH 112,Calculus I [Sec A],Dr. G. Biney,2,General,1,T,MET 103,10:00am,3.0,10:00am - 12:30pm,12:30pm
MATH 214,Multivariable Calculus [Sec A],Dr. G. Biney,2,General,2,W,MET 101,3:00pm,3.0,3:00pm - 5:30pm,5:30pm
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management,E. Okoe,2,Departmental,2,F,GEN. LAB,7:00am,3,7:00am - 9:30am,9:30am
COSC 130,Digital Electronics [Sec A],E. Okoe,1,Departmental,1,M,CS1,2:00pm,3,2:00pm - 4:30pm,4:30pm
COSC 124,Procedural Programming [Sec A],E. Okoe,2,Departmental,1,TH,GEN. LAB,2:00pm,3,2:00pm - 4:30pm,4:30pm
COSC 117,Fundamentals of Computing Skills [Sec B],G. Preprah Tanoah,1,Departmental,1,F,Baobab RM1,10:00am,3.0,10:00am - 12:30pm,12:30pm
BBIS 213,IT for Business (MOS) [Sec A],G. Preprah Tanoah,1,Departmental,2,M,GEN. LAB,7:00am,3.0,7:00am - 9:30am,9:30am
COSC 117,Fundamentals of Computing Skills [Sec A],G. Preprah Tanoah,2,Departmental,1,W,Baobab RM5,10:00am,3.0,10:00am - 12:00pm,12:00pm
BBIS 260,Web and Social Management Tools [Sec A],G. Preprah Tanoah,2,Departmental,2,W,CS2,7:00am,3.0,7:00am - 9:30am,9:30am
PHYS 103,Physics [Sec A],J. Okyere Asirifi,1,Departmental,1,T,CS LAB,10:00am,3.0,10:00am - 12:30pm,12:30pm
COSC 470,/ INFT 470 Computer & Cyber Forensics,M. Asare,1,Departmental,4,M,CS3,10:00am,3,10:00am - 12:30pm,12:30pm
INFT 446,Systems and Network Administration [Sec A],M. Asare,2,Departmental,4,TH,GEN. LAB,7:00am,3,7:00am - 9:30am,9:30am
