course_code,course_title,lecturer_name,Semester,source_type,course_level,day,room_name,start_time,credit_hours,timings,end_time,enrollment
PSYC 105,Introduction to Psychology [Sec A],Akua K. Amponsah,2,General,1,TH,Baobab RM3,7:00am,3,7:00am - 9:30am,9:30am,30
GNED 230,Career Exploration and Planning [Sec A],Ama O. Karikari,1,General,2,M,Baoaba RM5,5:00pm,NC,5:00pm - 6:00pm,6:00pm,30
GNED 468,Job Search Strategies and Techniques [Sec B],Ama O. Karikari,1,General,4,T,Baobab RM5,5:00pm,NC,5:00pm - 6:00pm,6:00pm,30
GNED 125,Study Skills [Sec B] (SONM),Ama O. Karikari,2,General,1,TH,Boabab RM5,5:00pm,NC,5:00pm - 6:00pm,6:00pm,30
GNED 125,Study Skills [Sec A],Ama O. Karikari,2,General,1,W,Baobab RM5,5:00pm,NC,5:00pm - 6:00pm,6:00pm,30
ENGL 112,Language and Writing Skills II [Sec B] (FOS & SOB),C. Pokuaa,2,General,1,M,American High,10:00pm,2,10:00pm - 12:30pm,12:30pm,30
ENGL 112,Language and Writing Skills II [Sec A] (SONM),C. Pokuaa,1,General,1,M,American High,7:00am,2,7:00am - 9:30am,9:30am,30
ENGL 112,Language and Writing Skills II [Sec C] (SOE & FASS),C. Pokuaa,1,General,1,W,American High,10:00am,2,10:00am - 12:00pm,12:00pm,30
CMME 115,Introduction to Communication Skills [Sec A],Dr. A. Oye,2,General,1,T,Baobab RM1,10:00am,2,10:00am - 12:30pm,12:30pm,30
CMME 115,Introduction to Communication Skills [Sec C],Dr. A. Oye,1,General,1,TH,Baobab RM1,10:00am,2,10:00am - 12:30pm,12:30pm,30
CMME 115,Introduction to Communication Skills [Sec B](SONM),Dr. A. Oye,2,General,1,W,Baobab RM1,10:00am,2,10:00am - 12:00pm,12:00pm,30
SOCI 115,Principles of Sociology [Sec A],Dr. D. Dovie,2,General,1,F,American High,10:00am,3,10:00am - 12:30pm,12:30pm,30
RELB 163,Life and Teachings of Jesus [Sec A],Dr. F. Tenortey,2,General,1,M,Baobab RM1,10:00am,3,10:00am - 12:30pm,12:30pm,30
RELB 163,Life and Teachings of Jesus [Sec C] (SONM),Dr. F. Tenortey,1,General,1,M,Baobab RM1,2:00pm,3,2:00pm - 4:30pm,4:30pm,30
RELB 163,Life and Teachings of Jesus [Sec B],Dr. F. Tenortey,2,General,1,W,Baobab RM5,3:00pm,3,3:00pm - 5:30pm,5:30pm,30
RELG 451,Bible and Family Dynamics [Sec B],Dr. J. Andor,2,General,4,TH,Baobab RM1,2:00pm,3,2:00pm - 4:30pm,4:30pm,30
ENGL 111,Language and Writing Skills I [Sec B],Dr. S. Adjei-Mensah,2,General,1,TH,Baobab RM3,10:00am,2,10:00am - 12:30pm,12:30pm,30
ENGL 111,Language and Writing Skills I [Sec D] (SONM),Dr. S. Adjei-Mensah,2,General,1,TH,Baobab RM3,2:00pm,2,2:00pm - 4:30pm,4:30pm,30
ENGL 111,Language and Writing Skills I [Sec A],Dr. S. Adjei-Mensah,1,General,1,W,Baobab RM3,10:00am,2,10:00am - 12:00pm,12:00pm,30
ENGL 111,Language and Writing Skills I [Sec C] (SONM),Dr. S. Adjei-Mensah,2,General,1,W,Baobab RM3,3:00pm,2,3:00pm - 5:30pm,5:30pm,30
RELG 451,Bible and Family Dynamics [Sec A],Dr. S. Amoh,1,General,4,T,Baobab RM5,10:00am,3,10:00am - 12:30pm,12:30pm,30
AFST 205,Introduction to African Music [Sec A],E. Boahen,1,General,2,F,Baobab RM1,7:00am,1,7:00am - 8:00am,8:00am,20
AFST 205,Introduction to African Music [Sec B],E. Boahen,2,General,2,W,Baobab RM1,5:00pm,1,5:00pm - 6:00pm,6:00pm,20
AFST 243,Chieftaincy and Development [Sec B],F. Opoku,1,General,2,M,Baobab RM3,10:00am,1,10:00am - 11:00am,11:00am,20
AFST 243,Chieftaincy and Development [Sec A],F. Opoku,2,General,2,W,Baobab RM1,3:00pm,1,3:00pm - 4:00pm,4:00pm,20
FREN 121,French for General Communication I [Sec A],J. Elorm Doufodji,1,General,1,T,Baobab RM1,7:00am,2,7:00am - 9:30am,9:30am,30
FREN 121,French for General Communication I [Sec B],J. Elorm Doufodji,1,General,1,TH,Baobab RM1,7:00am,2,7:00am - 9:30am,9:30am,30
FREN 122,French for General Communication II [Sec A],J. Rhule,1,General,1,M,Baobab RM3,7:00am,2,7:00am - 9:30am,9:30am,30
FREN 122,French for General Communication II [Sec B],J. Rhule,1,General,1,W,Baobab RM1,7:00am,2,7:00am - 9:30am,9:30am,30
PEAC 100,Physical Activity [Sec A],K. Oheneba Nti,1,General,1,M,B. Ball Court,5:00pm,NC,5:00pm - 6:30pm,6:30pm,25
HLTH 200,Health Principles [Sec A],K. Oheneba Nti,2,General,2,T,American High,7:00am,3,7:00am - 9:30am,9:30am,30
HLTH 200,Health Principles [Sec B],K. Oheneba Nti,1,General,2,W,American High,3:00pm,3,3:00pm - 5:30pm,5:30pm,30
MATH 121,College Algebra [Sec A],O. Osei-Tutu,2,General,1,TH,American High,2:00pm,3,2:00pm - 4:30pm,4:30pm,30
RELB 250,Principles of Christian Faith [Sec A],Ps. E. Osei,1,General,2,T,Baobab RM1,2:00pm,3,2:00pm - 4:30pm,4:30pm,30
RELT 385,Introduction to Biblical Foundation of Ethics [Sec A],Ps. E. Takyi,1,General,3,M,Baobab RM3,2:00pm,3,2:00pm - 4:30pm,4:30pm,30
RELT 385,Introduction to Biblical Foundation of Ethics [Sec B],Ps. I. Kyere,2,General,3,T,Baobab RM3,7:00am,3,7:00am - 9:30am,9:30am,30
RELB 250,Principles of Christian Faith [Sec B],Ps. P. Obeng Manu,1,General,2,W,American High,7:00am,3,7:00am - 9:30am,9:30am,30
