Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time
COSC 117,Fundamentals of Computing Skills [Sec B],3.0,G. Preprah Tanoah,MET 103,Wednesday,2:00 PM - 4:30 PM
BBIS 213,IT for Business (MOS) [Sec A],3.0,G. Preprah Tanoah,Baobab RM5,Thursday,2:00 PM - 4:30 PM
COSC 117,Fundamentals of Computing Skills [Sec A],3.0,G. Preprah Tanoah,Baobab RM3,Wednesday,10:00 AM - 12:30 PM
BBIS 260,Web and Social Management Tools [Sec A],3.0,G. Preprah Tanoah,Bulley Room 3,Monday,7:00 AM - 9:30 AM
CSCD 119,Introduction to Computer Science [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS1,Tuesday,7:00 AM - 9:30 AM
COSC 224,Object-Oriented Programming [Sec A],3.0,Prof. P. Yaw Owusu Amoako,American High,Thursday,2:00 PM - 4:30 PM
COCS 364 / INFT 364,Research Methods [Sec A],3.0,Prof. P. Yaw Owusu Amoako,Baobab RM3,Friday,7:00 AM - 9:30 AM
COSC 480,Compiler Design [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CC3,Monday,2:00 PM - 4:30 PM
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management,3.0,E. Okoe,Baobab RM1,Tuesday,10:00 AM - 12:30 PM
COSC 130,Digital Electronics [Sec A],3.0,E. Okoe,Bulley Room 5,Tuesday,2:00 PM - 4:30 PM
COSC 124,Procedural Programming [Sec A],3.0,E. Okoe,CS3,Thursday,10:00 AM - 12:30 PM
INFT 281 / COSC 280 / BBIS 110,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A],3.0,R. W. Ambeh-Doh,Baobab RM1,Wednesday,2:00 PM - 4:30 PM
BBIS 338,Enterprise Systems [Sec A],3.0,R. W. Ambeh-Doh,Bulley Room 1,Wednesday,7:00 AM - 9:30 AM
INFT 115,Information Technology Foundation [Sec A],3.0,R. W. Ambeh-Doh,Bulley Room 2,Monday,2:00 PM - 4:30 PM
INFT 480 / BBIS 304,Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A],3.0,S. Ganu,MET 103,Monday,2:00 PM - 4:30 PM
BBIS 488,Decision Support Systems [Sec A],3.0,S. Ganu,MET 101,Tuesday,2:00 PM - 4:30 PM
COSC 240 / INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A],3.0,S. Ganu,American High,Wednesday,2:00 PM - 4:30 PM
INFT 410,Internet-Enabled Applications Systems Development,3.0,S. Sebuabe,CS LAB,Wednesday,10:00 AM - 12:30 PM
INFT 340,Computer Vision: Concepts and Application [Sec A],3.0,S. Sebuabe,Baobab RM5,Tuesday,10:00 AM - 12:30 PM
COSC 250 / BBIS 203,Computer Ethics [Sec A] / IT Professional Ethics and Practice [Sec A],3.0,S. Sebuabe,American High,Thursday,10:00 AM - 12:30 PM
COSC 470,/ INFT 470 Computer & Cyber Forensics,3.0,M. Asare,CC3,Wednesday,10:00 AM - 12:30 PM
INFT 446,Systems and Network Administration [Sec A],3.0,M. Asare,Baobab RM1,Tuesday,7:00 AM - 9:30 AM
INFT 459 / COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A],3.0,M. Doe,Bulley Room 3,Wednesday,10:00 AM - 12:30 PM
INFT 420,Computer-Human Interaction [Sec A],3.0,M. Doe,CS3,Wednesday,2:00 PM - 4:30 PM
BBIS 226,Business Process Modeling and Workflow [Sec A],3.0,Prof. W. Ofoe Larkotey,Bulley Room 4,Monday,2:00 PM - 4:30 PM
BBIS 432,IS Consultancy Practices Solution Develop [Sec A],3.0,Prof. W. Ofoe Larkotey,CS3,Tuesday,10:00 AM - 12:30 PM
COSC 346 / INFT 346,Software Engineering [Sec A] / Software Development Life Cycle [Sec A],3.0,R. Amponsah,Bulley Room 1,Thursday,10:00 AM - 12:30 PM
COSC 113,Elements of Programming [Sec A],3.0,R. Amponsah,Baobab RM5,Friday,10:00 AM - 12:30 PM
COSC 370 / INFT 370,Operations Research [Sec A] / Management Science [Sec A],3.0,Dr. A. Adu-Sackey,Bulley Room 5,Thursday,10:00 AM - 12:30 PM
