id,course_code,course_title,semester,level,credit_hours,type
1,"COSC 119","Introduction to Computer Science [Sec A]",1,100,3,"Departmental"
2,"COSC 224","Object-Oriented Programming [Sec A]",1,100,3,"Departmental"
3,"COSC 364","Research Methods [Sec A]",1,300,3,"Departmental"
4,"COSC 480","Compiler Design [Sec A]",1,100,3,"Departmental"
5,"MATH 101","Algebra [Sec A]",1,100,4,"Departmental"
6,"NURS 101","Introduction to Nursing",1,100,3,"Departmental"
7,"CSCD 119","Introduction to Computer Science [Sec A]",1,100,3,"Departmental"
9,"COCS 364 / INFT 364","Research Methods [Sec A]",1,100,3,"Departmental"
11,"COSC 117","Fundamentals of Computing Skills [Sec B]",1,100,3,"Departmental"
12,"BBIS 213","IT for Business (MOS) [Sec A]",1,100,3,"Departmental"
13,"BBIS 260","Web and Social Management Tools [Sec A]",1,100,3,"Departmental"
14,"STAT 202","Statistical Methods for Health Sciences [Sec A]",1,100,3,"Departmental"
15,"MATH 121","College Algebra [Sec A]",1,100,3,"Departmental"
16,"COSC 272 / INFT 372","Data Communication & Computer Network II [Sec A] / Network Project Management",1,100,3,"Departmental"
17,"COSC 130","Digital Electronics [Sec A]",1,100,3,"Departmental"
18,"COSC 124","Procedural Programming [Sec A]",1,100,3,"Departmental"
19,"INFT 281 / COSC 280 ","Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A]",1,100,3,"Departmental"
20,"BBIS 338","Enterprise Systems [Sec A]",1,100,3,"Departmental"
21,"INFT 115","Information Technology Foundation [Sec A]",1,100,3,"Departmental"
22,"INFT 480 / BBIS 304","Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A]",1,100,3,"Departmental"
23,"BBIS 488","Decision Support Systems [Sec A]",1,100,3,"Departmental"
24,"COSC 240 / INFT 346","Systems Programming {Sec A] / DotNet Programming [Sec A]",1,100,3,"Departmental"
25,"INFT 410","Internet-Enabled Applications Systems Development",1,100,3,"Departmental"
26,"INFT 340","Computer Vision: Concepts and Application [Sec A]",1,100,3,"Departmental"
27,"COSC 250 / BBIS 203","Computer Ethics [Sec A] / IT Professional Ethics and Practice [Sec A]",1,100,3,"Departmental"
28,"MATH 112","Calculus I [Sec A]",1,100,3,"Departmental"
29,"MATH 214","Multivariable Calculus [Sec A]",1,100,3,"Departmental"
30,"COSC 470","/ INFT 470 Computer & Cyber Forensics",1,100,3,"Departmental"
31,"INFT 446","Systems and Network Administration [Sec A]",1,100,3,"Departmental"
32,"INFT 459 / COSC 352","Enterprise Information Security [Sec A] / Computer Security [Sec A]",1,100,3,"Departmental"
33,"INFT 420","Computer-Human Interaction [Sec A]",1,100,3,"Departmental"
35,"MATH 171","Introductory Mathematics for Computer Science",1,100,3,"Departmental"
36,"BBIS 226","Business Process Modeling and Workflow [Sec A]",1,100,3,"Departmental"
37,"BBIS 432","IS Consultancy Practices Solution Develop [Sec A]",1,100,3,"Departmental"
38,"COSC 346 / INFT 346","Software Engineering [Sec A] / Software Development Life Cycle [Sec A]",1,100,3,"Departmental"
39,"COSC 113","Elements of Programming [Sec A]",1,100,3,"Departmental"
40,"COSC 370 / INFT 370","Operations Research [Sec A] / Management Science [Sec A]",1,100,3,"Departmental"
41,"PHYS 103","Physics [Sec A]",1,100,3,"Departmental"
42,"MATH 172","Discrete & Continuous Mathematics [Sec A]",1,100,3,"Departmental"
43,"STAT 384","Probability and Statistics [Sec A]",1,100,3,"Departmental"
44,"GNED 230","Career Exploration and Planning [Sec A]",1,100,3,"Departmental"
45,"GNED 468","Job Search Strategies and Techniques [Sec B]",1,100,3,"Departmental"
46,"GNED 125","Study Skills [Sec B] (SONM)",1,100,3,"Departmental"
47,"ENGL 111","Language and Writing Skills I [Sec B]",1,100,3,"Departmental"
48,"ENGL 112","Language and Writing Skills II [Sec B] (FOS & SOB)",1,100,2,"General"
49,"CMME 115","Introduction to Communication Skills [Sec A]",1,100,3,"Departmental"
50,"RELB 163","Life and Teachings of Jesus [Sec A]",1,100,3,"Departmental"
51,"PEAC 100","Physical Activity [Sec A]",1,100,3,"Departmental"
52,"HLTH 200","Health Principles [Sec A]",1,100,3,"Departmental"
53,"AFST 205","Introduction to African Music [Sec A]",1,100,3,"General"
54,"AFST 243","Chieftaincy and Development [Sec B]",1,100,1,"General"
55,"FREN 121","French for General Communication I [Sec A]",1,100,2,"General"
56,"FREN 122","French for General Communication II [Sec A]",1,100,3,"Departmental"
57,"PSYC 105","Introduction to Psychology [Sec A]",1,100,3,"Departmental"
58,"SOCI 115","Principles of Sociology [Sec A]",1,100,3,"Departmental"
59,"RELG 451","Bible and Family Dynamics [Sec B]",1,100,3,"Departmental"
60,"RELB 250","Principles of Christian Faith [Sec A]",1,100,3,"Departmental"
61,"RELT 385","Introduction to Biblical Foundation of Ethics [Sec A]",1,100,3,"Departmental"
