Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time
COSC 370,Operations Research,3.0,Dr. A. Adu-Sackey,CS2,Wednesday,2:00 PM - 4:30 PM
INFT 370,Management Science,3.0,Dr. A. Adu-Sackey,CS2,Wednesday,7:00 AM - 9:30 AM
INFT 364,Research Methods,3.0,Prof. P. Yaw Owusu Amoako,American High,Thursday,7:00 AM - 9:30 AM
INFT 346,Software Development Life Cycle,3.0,R. Amponsah,GEN. LAB,Wednesday,2:00 PM - 4:30 PM
CSCD 119,Introduction to Computer Science,3.0,Prof. P. Yaw Owusu Amoako,American High,Wednesday,2:00 PM - 4:30 PM
COSC 224,Object-Oriented Programming,3.0,Prof. P. Yaw Owusu Amoako,Baobab RM3,Friday,10:00 AM - 12:30 PM
COSC 364,Research Methods,3.0,Prof. P. Yaw Owusu Amoako,CS LAB,Tuesday,7:00 AM - 9:30 AM
COSC 480,Compiler Design,3.0,Prof. P. Yaw Owusu Amoako,American High,Wednesday,10:00 AM - 12:30 PM
COSC 272,Data Communication & Computer Network II,3.0,E. Okoe,CS3,Thursday,10:00 AM - 12:30 PM
ACCT 210,Financial Accounting II,3.0,TBA,Baobab RM3,Monday,7:00 AM - 9:30 AM
INFT 372,Network Project Management,3.0,E. Okoe,CS1,Tuesday,2:00 PM - 4:30 PM
COSC 130,Digital Electronics,3.0,E. Okoe,Baobab RM3,Wednesday,10:00 AM - 12:30 PM
COSC 124,Procedural Programming,3.0,E. Okoe,Baobab RM3,Wednesday,7:00 AM - 9:30 AM
COSC 113,Elements of Programming,3.0,R. Amponsah,CS1,Tuesday,10:00 AM - 12:30 PM
PHYS 103,Physics,3.0,J. Okyere Asirifi,CS3,Tuesday,2:00 PM - 4:30 PM
MATH 172,Discrete & Continuous Mathematics,3.0,Prof. L. Asiedu,CS LAB,Thursday,7:00 AM - 9:30 AM
MATH 171,Introductory Mathematics for Computer Science,3.0,Prof. W. Oblitey,CS LAB,Monday,7:00 AM - 9:30 AM
INFT 115,Information Technology Foundation,3.0,R. W. Ambeh-Doh,CS1,Thursday,10:00 AM - 12:30 PM
RNSG 101,Nursing and Midwifery Informatics,3.0,R. Amponsah,GEN. LAB,Tuesday,2:00 PM - 4:30 PM
COSC 346,Software Engineering,3.0,R. Amponsah,CS3,Thursday,7:00 AM - 9:30 AM
BBIS 213,IT for Business (MOS),3.0,G. Preprah Tanoah,CS2,Thursday,10:00 AM - 12:30 PM
MATH 101,Algebra,3.0,Prof. W. Oblitey,Baobab RM5,Monday,10:00 AM - 12:30 PM
STAT 384,Probability and Statistics,3.0,TBA,Baobab RM5,Tuesday,7:00 AM - 9:30 AM
ACCT 211,Financial Accounting I,3.0,TBA,GEN. LAB,Wednesday,10:00 AM - 12:30 PM
COSC 117,Fundamentals of Computing Skills,3.0,G. Preprah Tanoah,American High,Tuesday,10:00 AM - 12:30 PM
BBIS 260,Web and Social Management Tools,3.0,G. Preprah Tanoah,CS1,Thursday,2:00 PM - 4:30 PM
BBIS 226,Business Process Modeling and Workflow,3.0,Prof. W. Ofoe Larkotey,CS2,Tuesday,7:00 AM - 9:30 AM
BBIS 432,IS Consultancy Practices Solution Develop,3.0,Prof. W. Ofoe Larkotey,CS LAB,Tuesday,10:00 AM - 12:30 PM
INFT 281,Management Information Systems,3.0,R. W. Ambeh-Doh,CS2,Monday,7:00 AM - 9:30 AM
COSC 280,Information Systems,3.0,R. W. Ambeh-Doh,CS3,Wednesday,2:00 PM - 4:30 PM
BBIS 110,Introduction to Business Information Systems,3.0,R. W. Ambeh-Doh,CS3,Wednesday,10:00 AM - 12:30 PM
BBIS 338,Enterprise Systems,3.0,R. W. Ambeh-Doh,CS3,Monday,10:00 AM - 12:30 PM
MATH 112,Calculus I,3.0,Dr. G. Biney,CS3,Monday,7:00 AM - 9:30 AM
MATH 214,Multivariable Calculus,3.0,Dr. G. Biney,CS LAB,Wednesday,10:00 AM - 12:30 PM
