Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time
CMME 115,Introduction to Communication Skills [Sec A],NC,A. Oye,Bulley Room 3,Thu,10:00 AM - 12:30 PM
CMME 115,Introduction to Communication Skills [Sec A],NC,A. Oye,Baobab RM3,Thu,7:00 AM - 9:30 AM
CMME 115,Introduction to Communication Skills [Sec A],NC,A. Oye,Baobab RM3,Mon,2:00 PM - 4:30 PM
PSYC 105,Introduction to Psychology [Sec B],NC,Akua K. Amponsah,Bulley Room 3,Thu,2:00 PM - 4:30 PM
PSYC 105,Introduction to Psychology [Sec B],NC,Akua K. Amponsah,Baobab RM5,Thu,7:00 AM - 9:30 AM
GNED 468,Job Search Strategies and Techniques [Sec A],NC,Ama O. Karikari,Baobab RM5,Fri,10:00 AM - 12:30 PM
GNED 468,Job Search Strategies and Techniques [Sec A],NC,Ama O. Karikari,Bulley Room 2,Tue,7:00 AM - 9:30 AM
GNED 230,Career Exploration and Planning [Sec A],NC,Ama O. Karikari,Bulley Room 1,Mon,7:00 AM - 9:30 AM
GNED 230,Career Exploration and Planning [Sec A],NC,Ama O. Karikari,B. Ball Court,Wed,10:00 AM - 12:30 PM
GNED 125,Study Skills [Sec B],NC,Ama O. Karikari,Bulley Room 1,Thu,10:00 AM - 12:30 PM
GNED 125,Study Skills [Sec B],NC,Ama O. Karikari,Bulley Room 2,Wed,2:00 PM - 4:30 PM
ENGL 112,Language and Writing Skills II [Sec B],NC,C. Pokuaa,Bulley Room 2,Fri,10:00 AM - 12:30 PM
ENGL 112,Language and Writing Skills II [Sec B],NC,C. Pokuaa,American High,Wed,2:00 PM - 4:30 PM
ENGL 112,Language and Writing Skills II [Sec B],NC,C. Pokuaa,Bulley Room 2,Wed,7:00 AM - 9:30 AM
SOCI 115,Principles of Sociology [Sec A],NC,Dr. D. Dovie,Baobab RM3,Fri,7:00 AM - 9:30 AM
RELB 163,Life and Teachings of Jesus [Sec A],NC,Dr. F. Tenortey,Boabab RM5,Mon,7:00 AM - 9:30 AM
RELB 163,Life and Teachings of Jesus [Sec A],NC,Dr. F. Tenortey,Baobab RM1,Wed,7:00 AM - 9:30 AM
RELT 385,Introduction to Biblical Foundation of Ethics [Sec A],NC,Dr. J. Andor,Bulley Room 4,Mon,2:00 PM - 4:30 PM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Baobab RM3,Wed,7:00 AM - 9:30 AM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Bulley Room 3,Tue,10:00 AM - 12:30 PM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Bulley Room 5,Wed,2:00 PM - 4:30 PM
RELG 451,Bible and Family Dynamics [Sec A],NC,Dr. S. Amoh,Baobab RM1,Thu,10:00 AM - 12:30 PM
RELG 451,Bible and Family Dynamics [Sec A],NC,Dr. S. Amoh,American High,Tue,7:00 AM - 9:30 AM
AFST 205,Introduction to African Music [Sec A],NC,E. Boahen,Bulley Room 5,Wed,10:00 AM - 12:30 PM
AFST 205,Introduction to African Music [Sec A],NC,E. Boahen,Baobab RM3,Wed,2:00 PM - 4:30 PM
AFST 243,Chieftaincy and Development [Sec B],NC,F. Opoku,Bulley Room 5,Mon,7:00 AM - 9:30 AM
AFST 243,Chieftaincy and Development [Sec B],NC,F. Opoku,American High,Mon,2:00 PM - 4:30 PM
FREN 121,French for General Communication I [Sec A],NC,J. Elorm Doufodji,Baobab RM5,Tue,7:00 AM - 9:30 AM
FREN 121,French for General Communication I [Sec A],NC,J. Elorm Doufodji,Bulley Room 1,Mon,2:00 PM - 4:30 PM
FREN 122,French for General Communication II [Sec A],NC,J. Rhule,Baobab RM1,Mon,10:00 AM - 12:30 PM
FREN 122,French for General Communication II [Sec A],NC,J. Rhule,American High,Wed,10:00 AM - 12:30 PM
PEAC 100,Physical Activity [Sec A],NC,K. Oheneba Nti,Baobab RM3,Wed,10:00 AM - 12:30 PM
HLTH 200,Health Principles [Sec A],NC,K. Oheneba Nti,American High,Tue,10:00 AM - 12:30 PM
HLTH 200,Health Principles [Sec A],NC,K. Oheneba Nti,Baobab RM5,Mon,7:00 AM - 9:30 AM
MATH 121,College Algebra [Sec A],NC,O. Osei-Tutu,American High,Thu,2:00 PM - 4:30 PM
