course_code,course_title
COSC 211,Computer Organization
INFT 211,Computer Organization and Architecture
COSC 260,Structured Systems Analysis and Design
COSC 255,Operating Systems
INFT 245,Entrepreneurship and Human Development
COSC 245,Entrepreneurship and Human Development
BBIS 245,Entrepreneurship and Human Development
INFT 445,IT Entrepreneurship
COSC 271,Data Communication & Computer Network I
MATH 211,Calculus II
MATH 210,Numerical Methods
FREN 122,French for General Communication II
RELB 250,Principles of Christian Faith
GNED 230,Career Exploration and Planning
AFST 243,Chieftaincy and Development
AFST 205,Introduction to African Music
