FACULTY OF SCIENCE,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
SECOND SEMESTER - 2025 / 2026 ACADEMIC YEAR,,,,,,
BIOMEDICAL EQUIPMENT TECHNOLOGY,,,,,,
,,,,,,
,,,,,,
LECTURER,COURSE CODE & TITLE,CREDIT HRS,CLASSROOM,DAYS,TIMINGS,
,,,,,,
E. Prah,BMET 132 Electronic Devices and Circuits II [Sec A],3,MET 101,T,7:00am - 9:30am,
E. Prah,BMET 262 Biomedical Measurement and Instrumentation II [Sec A],3,MET 101,M,10:00am - 12:30pm,
E. Prah,BMET 232 Electronic Circuits II [Sec A],3,MET 101,T,7:00am - 9:30am,
E. Prah,BMET 278 Biomedical Transducers and Sensors [Sec A],3,MET 101,TH,7:00am - 9:30am,
E. Prah,BMET 174 Biomedical Transducers and Sensors [Sec A],3,MET 101,TH,7:00am - 9:30am,
E. Prah,BMET 236 Biomedical Equipment Management [Sec A],3,MET 101,T,2:00pm - 4:30pm,
E. Prah,BMET 332 Biomedical  Instrumentation II [Sec A],3,MET 101,M,10:00am - 12:30pm,
Dr. Daniel Kantanka,CHEM 224 Chemistry for Biomedical Engineering [Sec A],3,CH3-3,TH,10:00am - 12:30pm,
TBA,BMET 272 Introduction to Engineering Softwares [Sec A],3,TBA,TBA,TBA,
E. Prah,BMET 374 Research Methods,3,MET 101,M,7:00am - 9:30am,
,,,,,,
,,,,,,
Dr. J. Kutor,BMET 214 Medical Laboratory Instrumentation [Sec A],3,MET 101,TH,10:00am - 12:00pm,
Dr. J. Kutor,BMET 446 Biofluid Mechanics [Sec A],2,MET 101,W,3:00pm - 5:00pm,
Dr. J. Kutor,BMET 336 Quantitative Human Physiology [Sec A],2,MET 101,W,10:30am - 12:30pm,
Dr. J. Kutor,BMET 346 Transport Phenomena in Biomedical Engineering,2,MET 101,W,8:00am - 10:00am,
,,,,,,
,,,,,,
,,,,,,
J. Asirifi,PHYS 124 Physics for Biomedical Engineering [Sec A],3,MET 103,M,7:00am - 9:30am,
J. Asirifi,BMET 228 Medical Imaging Systems II [Sec A],3,MET 103,TH,10:00am - 12:30pm,
J. Asirifi,BMET 412 Medical Imaging II [Sec A],3,MET 103,TH,10:00am - 12:30pm,
J. Asirifi,BMET 142 Digital Fundamentals II [Sec A],3,MET 103,T,2:00pm - 4:30pm,
J. Asirifi,BMET 242 Digital Electronics II [Sec A],3,MET 103,T,2:00pm - 4:30pm,
J. Asirifi,BMET 436 PACS and Medical Imaging Informatics [Sec A],2,MET 103,T,4:30pm - 6:30pm,
J. Asirifi,BMET 424 Digital Radiography [Sec A],2,MET 103,W,10:00am - 12:00pm,
,,,,,,
,,,,,,
A. Oye,BMET 152 Language and Communication Skills II [Sec A],3,Baobab RM1,T,10:00am - 12:30pm,
E. Boahen,AFST 205 Introduction to African Music [Sec A],1,Baobab RM1,F,7:00am - 8:00am,
Dr. S. Adjei-Mensah,ENGL 111 Language and Writing Skills I [Sec A],2,Baobab RM3,W,10:00am - 12:00pm,
Dr. S. Adjei-Mensah,BMET 151 Language and Communication Skills I [Sec A],2,Baobab RM3,W,10:00am - 12:00pm,
Dr. F. Ternotey,RELB 163 Life and Teachings of Jesus [Sec B],3,Baobab RM5,W,3:00pm - 5:30pm,
J. Elorm Doufodji,FREN 121 French for General Communication I [Sec A],2,Baobab RM1,T,7:00am - 9:30am,
A. Kusi Amponsah,PSYC 105 Introduction to Psychology [Sec A],3,Baobab RM3,TH,7:00am - 9:30am,
J. Rhule,FREN 122 French for General Communication II [Sec A],2,Baobab RM3,M,7:00am - 9:30am,
F. Opoku,AFST 243 Chieftaincy and Development [Sec A],1,Baobab RM1,W,3:00pm - 4:00pm,
Ps. E. Takyi,RELB 385 Introduction to Biblical Foundation of Ethics [Sec A],3,Baobab RM3,M,2:00pm - 4:30pm,
Dr. S. Amoh,RELG 451 Bible and Family Dynamics [Sec A],3,Baobab RM5,T,10:00am - 12:30pm,
,,,,,,
,Dr. G. Biney,MATH 112 Calculus I [Sec A],3.0,MET 103,T,10:00am - 12:00pm
,Dr. G. Biney,MATH 214 Multivariable Calculus [Sec A],3.0,MET 101,W,3:00pm - 5:00pm
,,,,,,
,,,,,,
,E. Abindau,BIOL 116 Introduction to Human Anatomy and Physiology [Sec A],3.0,TBA,TBA,TBA
,E. Abindau,BIOL 322 Human Anatomy and Physiology II [Sec A],3.0,MET 101,F,10:00am - 12:30pm
,,,,,,
,,,,,,
,TBA,BSAD 216 Business Essentials [Sec A],3.0,MET 101,W,5:00pm - 7:00pm
,E. Okoe,COSC 124 Procedural Programming,3.0,GEN. LAB,TH,2:00pm - 4:30pm
,R. Amponsah,COSC 113 Elements of Programming,3.0,CS LAB,TH,2:00pm - 4:30pm
,TBA,BSAD 316 Essentials of Business,3.0,MET 101,W,5:00pm - 7:00pm
,,,,,,
