program,level,semester,course_code
BIS,100,1,COSC 113
BIS,100,1,ENGL 121
BIS,100,1,FREN 111
BIS,100,1,MATH 181
BIS,100,1,PSYC 105
BIS,100,1,RELB 163
BIS,100,1,SOCI 105
BIS,100,2,BBIS 110
BIS,100,2,BBIS 213
BIS,100,2,CMME 105
BIS,100,2,COSC 122
BIS,100,2,ENGL 122
BIS,100,2,GNED 125
BIS,100,2,PEAC 100
BIS,100,2,STAT 272
BIS,200,1,ACCT 211
BIS,200,1,AFST 253
BIS,200,1,BBIS 203
BIS,200,1,BBIS 245
BIS,200,1,BSAD 331
BIS,200,1,COSC 260
BIS,200,1,MGNT 231
BIS,200,1,RELB 251
BIS,200,2,ACCT 222
BIS,200,2,AFST 254
BIS,200,2,BBIS 202
BIS,200,2,BBIS 226
BIS,200,2,BBIS 260
BIS,200,2,BBIS 270
BIS,200,2,GNED 230
BIS,200,2,HLTH 200
BIS,300,1,BBIS 309
BIS,300,1,BBIS 331
BIS,300,1,BSAD 341
BIS,300,1,MGNT 363
BIS,300,1,MKGT 351
BIS,300,1,RELT 385
BIS,300,2,BBIS 304
BIS,300,2,BBIS 310
BIS,300,2,BBIS 338
BIS,300,2,BBIS 350
BIS,300,2,BBIS 364
BIS,300,2,BKFN 310
BIS,300,2,BSAD 342
CS,100,1,COSC 113
CS,100,1,CSCD 113
CS,100,1,CSCD 115
CS,100,1,ENGL 111
CS,100,1,FREN 111
CS,100,1,GNED 125
CS,100,1,GNED 225
CS,100,1,MATH 171
CS,100,1,PEAC 100
CS,100,1,PHYS 103
CS,100,1,RELB 163
CS,100,2,CMME 115
CS,100,2,CSCD 116
CS,100,2,CSCD 124
CS,100,2,CSCD 130
CS,100,2,ENGL 112
CS,100,2,MATH 172
CS,100,2,PSYC 105
CS,100,2,SOCI 105
CS,200,1,COSC 211
CS,200,1,COSC 260
CS,200,1,COSC 271
CS,200,1,CSCD 210
CS,200,1,CSCD 211
CS,200,1,CSCD 230
CS,200,1,CSCD 250
CS,200,1,CSCD 256
CS,200,1,FREN 121
CS,200,1,INFT 390
CS,200,1,MATH 211
CS,200,1,MGNT 234
CS,200,1,RELB 251
CS,200,2,COSD 224
CS,200,2,CSCD 226
CS,200,2,CSCD 231
CS,200,2,CSCD 260
CS,200,2,CSCD 271
CS,200,2,CSCD 280
CS,200,2,HLTH 200
CS,200,2,INFD 280
IT,100,1,COSC 113
IT,100,1,CSCD 113
IT,100,1,ENGL 111
IT,100,1,FREN 111
IT,100,1,FREN 121
IT,100,1,GNED 125
IT,100,1,GNED 225
IT,100,1,INFD 115
IT,100,1,INFT 115
IT,100,1,INFT 119
IT,100,1,INFT 142
IT,100,1,MATH 141
IT,100,1,MATH 171
IT,100,1,PEAC 100
IT,100,1,RELB 163
IT,100,2,CMME 115
IT,100,2,COSC 124
IT,100,2,COSC 130
IT,100,2,CSCD 124
IT,100,2,CSCD 130
IT,100,2,ENGL 112
IT,100,2,GNED 230
IT,100,2,INFD 116
IT,100,2,INFD 142
IT,100,2,INFT 116
IT,100,2,MATH 172
IT,100,2,PSYC 105
IT,100,2,SOCI 105
IT,200,1,ACCT 210
IT,200,1,COSC 230
IT,200,1,COSC 271
IT,200,1,COSD 271
IT,200,1,CSCD 230
IT,200,1,INFD 211
IT,200,1,INFD 232
IT,200,1,INFT 211
IT,200,1,INFT 245
IT,200,1,INFT 280
IT,200,1,INFT 390
IT,200,1,MATH 211
IT,200,1,MATH 282
IT,200,1,RELB 251
IT,200,2,COSC 224
IT,200,2,COSC 272
IT,200,2,COSD 224
IT,200,2,HLTH 200
IT,200,2,INFD 214
IT,200,2,INFD 274
IT,200,2,INFD 280
IT,200,2,INFT 420
IT,200,2,MATH 282
IT,200,2,MGNT 234
IT,300,1,COSC 320
IT,300,1,COSC 355
IT,300,1,INFT 331
IT,300,1,INFT 360
IT,300,1,INFT 365
IT,300,1,INFT 390
IT,300,1,RELT 385
IT,300,2,INFT 250
IT,300,2,INFT 328
IT,300,2,INFT 346
IT,300,2,INFT 361
IT,300,2,INFT 364
IT,300,2,INFT 370
IT,300,2,INFT 459
Business,200,1,ACCT 210
