Course Code,Course Title,Lecturer Name,Room Name,Day,Time
INFT 420,Human Computer Interaction,D. Martin,CS Lab,Wed,2:00 PM - 4:30 PM
COSC 211 / INFT 211,Computer Organization / Computer Organization and Architecture,D. Martin,CS2,Thu,10:00 AM - 12:30 PM
INFT 142,Critical Thinking and Practical Reasoning,D. Martin,CS1,Mon,7:00 AM - 9:30 AM
COSC 331,Computer Graphics I,Dr. P. Y. O. Amoako,CS Lab,Wed,7:00 AM - 9:30 AM
INFT 425,Mobile Application Development,Dr. P. Y. O. Amoako,CS1,Fri,7:00 AM - 9:30 AM
COSC 455,"Artificial Intelligence and Machine Learning [CS] / Artificial Intelligence and Machine Learning [IT, BEIT]",Dr. P. Y. O. Amoako,CS1,Wed,10:00 AM - 12:30 PM
COSC 255,Operating Systems,Dr. P. Y. O. Amoako,CS3,Wed,2:00 PM - 4:30 PM
INFT 346 / COSC 447,Software Development Life Cycle / Software Engineering,J. Abandoh-Sam,CS1,Thu,10:00 AM - 12:30 PM
INFT 439 / COSC 429,Cloud Computing Systems,J. Abandoh-Sam,CS1,Thu,7:00 AM - 9:30 AM
MATH 171,Introductory Mathematics for Computer Science,Prof. W. Oblitey,CS1,Mon,10:00 AM - 12:30 PM
INFT 119,Information Technology Foundation,E. Okoe,CS3,Wed,7:00 AM - 9:30 AM
MATH 141,Algebra,Prof. W. Oblitey,CS2,Mon,2:00 PM - 4:30 PM
COSC 271,Data Communication & Computer Network I,E. Okoe,CS2,Wed,2:00 PM - 4:30 PM
COSC 260,Structured Systems Analysis and Design,J. Abandoh-Sam,CS2,Thu,2:00 PM - 4:30 PM
COSC 466,Systems and Network Administration,M. Asare Tetteh,CS2,Fri,7:00 AM - 9:30 AM
INFT 245 / COSC 245 / BBIS 245 / INFT 445,Entrepreneurship and Human Development / / COSC 445 Entrepreneurship and Human Development / Entrpreneurship and Human Development / IT Entrepreneurship,W. Ronky Amber-Doh,CS2,Thu,7:00 AM - 9:30 AM
COSC 352 / INFT 452,Computer Security / Enterprise Information Security,J. Abandoh-Sam,Business Lab,Tue,7:00 AM - 9:30 AM
COSC 470 / INFT 470,Computer and Cyber Forensics,M. Asare Tetteh,CS3,Tue,10:00 AM - 12:30 PM
COSC 113 / CSCD 113,"Elements of Progamming [CS, BMET] / Elements of Programming [CS]",R. Amponsah,CS3,Tue,7:00 AM - 9:30 AM
