course_code,course_title,day,time
INFT 480 / BBIS 304,Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A],Tuesday,2:00 PM - 4:30 PM
BBIS 488,Decision Support Systems [Sec A],Wednesday,10:00 AM - 12:30 PM
COSC 240 / INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A],Tuesday,7:00 AM - 9:30 AM
COSC 370 / INFT 370,Operations Research [Sec A] / Management Science [Sec A],Friday,10:00 AM - 12:30 PM
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management,Wednesday,5:00 PM - 6:00 PM
COSC 130,Digital Electronics [Sec A],Tuesday,5:00 PM - 6:00 PM
COSC 124,Procedural Programming [Sec A],Wednesday,10:00 AM - 12:30 PM
INFT 281 / COSC 280 / BBIS 110,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A],Monday,10:00 AM - 12:30 PM
BBIS 338,Enterprise Systems [Sec A],Thursday,2:00 PM - 4:30 PM
INFT 115,Information Technology Foundation [Sec A],Wednesday,2:00 PM - 4:30 PM
COSC 117,Fundamentals of Computing Skills [Sec B],Friday,7:00 AM - 9:30 AM
BBIS 213,IT for Business (MOS) [Sec A],Tuesday,10:00 AM - 12:30 PM
COSC 117,Fundamentals of Computing Skills [Sec A],Tuesday,7:00 AM - 9:30 AM
BBIS 260,Web and Social Management Tools [Sec A],Monday,10:00 AM - 12:30 PM
CSCD 119,Introduction to Computer Science [Sec A],Monday,7:00 AM - 9:30 AM
COSC 224,Object-Oriented Programming [Sec A],Wednesday,10:00 AM - 12:30 PM
COCS 364 / INFT 364,Research Methods [Sec A],Friday,10:00 AM - 12:30 PM
COSC 480,Compiler Design [Sec A],Thursday,5:00 PM - 6:00 PM
COSC 346 / INFT 346,Software Engineering [Sec A] / Software Development Life Cycle [Sec A],Wednesday,2:00 PM - 4:30 PM
COSC 113,Elements of Programming [Sec A],Tuesday,7:00 AM - 9:30 AM
INFT 410,Internet-Enabled Applications Systems Development,Friday,7:00 AM - 9:30 AM
INFT 340,Computer Vision: Concepts and Application [Sec A],Tuesday,5:00 PM - 6:00 PM
COSC 250 / BBIS 203,Computer Ethics [Sec A] / IT Professional Ethics and Practice [Sec A],Tuesday,2:00 PM - 4:30 PM
COSC 470,/ INFT 470 Computer & Cyber Forensics,Wednesday,7:00 AM - 9:30 AM
INFT 446,Systems and Network Administration [Sec A],Thursday,7:00 AM - 9:30 AM
INFT 459 / COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A],Wednesday,10:00 AM - 12:30 PM
INFT 420,Computer-Human Interaction [Sec A],Monday,2:00 PM - 4:30 PM
BBIS 226,Business Process Modeling and Workflow [Sec A],Friday,10:00 AM - 12:30 PM
BBIS 432,IS Consultancy Practices Solution Develop [Sec A],Thursday,5:00 PM - 6:00 PM
